lap,2009,KOR,IRL,2009,ESP,TPE,2009,AUS,NED,2009,POL,JPN,2009
1,12,13,10,5,6,7,1,3,8,11,3,2,9
2,13,12,7,5,6,10,2,3,9,8,1,4,11
3,13,9,8,3,6,11,4,5,10,7,1,2,12
4,13,9,8,2,6,11,4,5,10,7,1,3,12
5,13,9,8,2,6,11,4,5,10,7,1,3,12
6,13,9,8,2,5,11,4,7,10,6,1,3,12
7,13,9,8,2,5,11,4,7,10,6,1,3,12
8,12,10,8,2,5,11,4,7,9,6,1,3,13
9,12,11,8,2,5,10,4,6,9,7,1,3,13
10,11,12,8,2,4,10,5,6,9,7,1,3,13
11,11,13,8,3,4,10,7,5,9,6,1,2,12
12,11,13,7,3,4,10,8,5,9,6,1,2,12
13,11,13,6,3,4,10,8,5,9,7,1,2,12
14,10,13,6,3,4,11,8,5,9,7,1,2,12
15,10,13,6,2,4,11,8,5,9,7,1,3,12
16,10,13,5,2,4,11,9,6,8,7,1,3,12
17,9,13,5,2,4,11,10,6,8,7,1,3,12
18,9,13,5,2,4,11,10,6,8,7,1,3,12
19,8,13,5,2,4,10,11,6,9,7,1,3,12
20,8,13,5,2,4,10,12,7,9,6,1,3,11
21,8,13,5,2,4,10,12,7,9,6,1,3,11
22,7,13,5,2,4,10,12,8,9,6,1,3,11
23,7,13,6,2,4,10,12,8,9,5,1,3,11
24,7,13,6,2,4,10,12,8,9,5,1,3,11
25,7,13,6,2,4,10,12,9,8,5,1,3,11
26,7,13,6,2,4,10,12,9,8,5,1,3,11
27,7,13,6,2,4,10,12,9,8,5,1,3,11
28,7,13,6,2,4,10,12,9,8,5,1,3,11
29,8,13,6,1,4,10,12,9,7,5,2,3,11
30,8,13,6,1,4,10,12,9,7,5,2,3,11
31,8,13,6,1,4,10,12,9,7,5,2,3,11
32,8,13,6,1,3,9,12,10,7,5,2,4,11
